date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:14	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:13%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	(from )
12:07:14	1011/1011	---M--	200	added ('OK')	image/png	etag:%223f3-49e5a61173b9a%22	http://fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	(from )
12:07:14	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:13%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	(from )
12:07:14	5570/5570	---M--	200	added ('OK')	image/png	etag:%2215c2-49e5a631e0683%22	http://fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	(from )
12:07:14	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:14%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	(from )
12:07:14	4213/4213	---M--	200	added ('OK')	image/png	etag:%221075-49e5a61914e0c%22	http://fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	(from )
12:07:14	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:14%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoBlock__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoBlock__inherit__graph.png	(from )
12:07:15	210/210	---M--	200	added ('OK')	image/png	etag:%22d2-49e5a538f8042%22	http://fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	(from )
12:07:15	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:14%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoSafetySolver__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoSafetySolver__inherit__graph.png	(from )
12:07:15	2137/2137	---M--	200	added ('OK')	image/png	etag:%22859-49e5a3fb64e96%22	http://fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoBlock__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoBlock__inherit__graph.png	(from )
12:07:15	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:14%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	(from )
12:07:15	3544/3544	---M--	200	added ('OK')	image/png	etag:%22dd8-49e5a3711c7ef%22	http://fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoSafetySolver__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/go-doc/classGoSafetySolver__inherit__graph.png	(from )
12:07:15	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:15%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	(from )
12:07:15	1011/1011	---M--	200	added ('OK')	image/png	etag:%223f3-49e5a61173b9a%22	http://fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/simpleplayers-doc/dir_092b3ddb6f53dd5a0eaf693b16f1830e_dep.png	(from )
12:07:15	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:15%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	(from )
12:07:16	5570/5570	---M--	200	added ('OK')	image/png	etag:%2215c2-49e5a631e0683%22	http://fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/gouct-doc/classGoUctGlobalSearchStateFactory__inherit__graph.png	(from )
12:07:16	400/400	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Apr%202012%2018:07:15%20GMT	http://fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/smartgame-doc/form_4.png	(from )
12:07:16	4213/4213	---M--	200	added ('OK')	image/png	etag:%221075-49e5a61914e0c%22	http://fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	C:/Users/quentin/Dropbox/Go%20AI/Fuego/Fuego%20Documentation/fuego.sourceforge.net/fuego-doc-1.1/fuegomain-doc/classFuegoMainEngine__inherit__graph.png	(from )
